Ortschaftsname;PLZ4;Zusatzziffer;ZIP_ID;Gemeindename;BFS-Nr;Kantonskürzel;Adressenanteil;E;N;Sprache;Validity
Würenlos;5436;00;4507;Würenlos;4048;AG;100%;2669700;1254928;de;01.07.2008
Fislisbach;5442;00;3074;Fislisbach;4027;AG;100%;2664230;1254442;de;01.07.2008
Niederrohrdorf;5443;00;3075;Niederrohrdorf;4035;AG;100%;2665315;1252993;de;01.07.2008
Künten;5444;00;3076;Künten;4031;AG;100%;2667324;1249040;de;01.07.2008
Eggenwil;5445;00;3077;Eggenwil;4066;AG;100%;2668149;1246891;de;01.07.2008
Oberrohrdorf;5452;00;3078;Oberrohrdorf;4037;AG;100%;2666152;1252616;de;01.07.2008
Remetschwil;5453;00;3079;Remetschwil;4039;AG;100%;2666884;1251348;de;01.07.2008
Bellikon;5454;00;3080;Bellikon;4022;AG;100%;2668514;1249203;de;01.07.2008
Siglistorf;5462;00;4745;Siglistorf;4319;AG;96.79%;2670846;1266443;de;01.07.2008
Siglistorf;5462;00;4745;Oberweningen;93;ZH;3.21%;2672497;1264408;de;01.07.2008
Wislikofen;5463;00;4744;Zurzach;4324;AG;100%;2669831;1267690;de;01.07.2008
Rümikon AG;5464;00;4742;Zurzach;4324;AG;100%;2670479;1268744;de;01.07.2008
Mellikon;5465;00;4743;Mellikon;4314;AG;100%;2668653;1268901;de;01.07.2008
